Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
06.04.2016,"620,00","620,00","620,00","620,00","0,00",129,79.98,79.98
03.11.2016,"620,00","620,00","620,00","620,00","0,00",50,31.0,31.0
01.10.2019,"620,00","620,00","620,00","620,00","0,00",161,99.82,99.82
10.10.2019,"1.500,00","1.500,00","1.500,00","1.500,00","141,94",224,336.0,336.0
25.10.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",484,726.0,726.0
29.10.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",55,82.5,82.5
31.10.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",194,291.0,291.0
05.11.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",183,274.5,274.5
06.11.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",73,109.5,109.5
22.11.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",449,673.5,673.5
25.11.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",224,336.0,336.0
02.12.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",150,225.0,225.0
10.12.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",182,273.0,273.0
13.12.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",4,6.0,6.0
17.12.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",62,93.0,93.0
27.12.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",13,19.5,19.5
05.02.2020,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",190,285.0,285.0
25.02.2020,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",3,4.5,4.5
09.03.2020,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",116,174.0,174.0
05.08.2020,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",80,120.0,120.0
22.03.2021,"4.500,00","4.500,00","4.500,00","4.500,00","200,00",16,72.0,72.0
03.08.2022,"4.500,00","4.500,00","4.500,00","4.500,00","0,00",128,576.0,576.0
