Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
16.09.2022,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",22,26.4,26.4
07.11.2022,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",19,22.8,22.8
03.01.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",102,122.4,122.4
18.01.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",7,8.4,8.4
23.01.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",35,42.0,42.0
10.04.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",14,16.8,16.8
12.06.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",12,14.4,14.4
10.11.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",19,22.8,22.8
06.12.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",9,10.8,10.8
07.08.2024,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",41,49.2,49.2
